Object,d_lum,r_50_phys,r_50_phys err,E(B-V)_nebular,E(B-V)_nebular err,E(B-V)_uv,E(B-V)_uv err,O2_3726A,O2_3726Ae,O2_3729A,O2_3729Ae,Ne3_3869A,Ne3_3869Ae,H1r_4861A,H1r_4861Ae,O3_4959A,O3_4959Ae,O3_5007A,O3_5007Ae,H1r_1216A,H1r_1216Ae,EW(Hb),EW(Hb) err,EW(O3+Hb),EW(O3+Hb) err,EW(LyA),EW(LyA) err,L(H1r_4861A),L(H1r_4861A) err,R23,R23 err,O32,O32 err,UV-beta,UV-beta err,beta1550,beta1550 err,M_1500,M_1500 err,SFR,SFR err,log10(SFR),log10(SFR) err,log10(Sigma_SFR)-Hbeta,log10(Sigma_SFR)-Hbeta err,log10(Sigma_SFR)-UV,log10(Sigma_SFR)-UV err,f_esc(LyA),f_esc(LyA) err,Te_O3,Te_O3 err,OH_12,OH_12 err,log10(Mstar),log10(Mstar) lower,log10(Mstar) upper,P(>N|B),f(LyC),f(LyC) err lower,f(LyC) err upper,f(LyC)/f1100,f(LyC)/f1100 err lower,f(LyC)/f1100 err upper,L(LyC),f_esc(LyC),f_esc(LyC) err,Wl-HI,Wl-HIerr,Rl-HI,Rl-HIerr,Wl-LIS,Wl-LISerr,Rl-LIS,Rl-LISerr,OI+Ly1026-Wl,OI+Ly1026-Wlerr,SiII1260-Wl,SiII1260-Wlerr,CII1334-Wl,CII1334-Wlerr,OI+Ly1026-Rl,OI+Ly1026-Rlerr,SiII1260-Rl,SiII1260-Rlerr,CII1334-Rl,CII1334-Rlerr
J003601+003307,1844.137916,0.445392727,0.14824657,0.151558403,0.012543247,0.0134,0.0329,64.93505525,4.858327174,82.46859815,5.866655697,127.3291335,7.458973481,237.2169034,12.8454469,463.4490198,23.99125607,1446.963378,139.1022213,647.54705,29.528544,160.4693351,6.508995387,519.8109131,15.36347937,93.563277,9.0755198,9.65E+41,5.23E+40,0.827442673,0.044643676,0.991949292,0.047399971,-2.089618391,0.327744686,-2.3614,0.2052,-18.5266,0.0954,15.18668053,0.357150086,1.181462857,0.023517324,1.085796747,0.146453108,-0.05811643,0.147265239,0.117076264,0.011161781,15775.1863,973.4364275,7.781130396,0.037337339,8.75370966,0.42505657,0.44355983,0.066023721,0.155473451,0.102663682,0.113855032,0.024121895,0.015640446,0.0169912,6.33E+38,0.0291,0.0193,2.510805,0.234446,0.166465,0.073765,0.965621,0.881565,0.276125,0.287044,1.3197,1.0439,-99,-99,0.8127,3.0263,0.2494,0.2241,0.6827,0.7983,-0.1744,1.1576
J004743+015440,1878.536612,0.617911358,0.145335929,0.176055236,0.014150489,0.1338,0.0405,233.8669417,13.88543533,274.4167359,15.85819845,150.6387376,8.694375157,310.4010617,16.90350517,566.4379299,29.24596434,1730.839174,94.75106078,1648.5634,120.76622,61.51143476,1.136741216,403.4460416,7.585721801,42.316904,4.5418571,1.31E+42,7.14E+40,0.858154724,0.030229001,0.532150552,0.029825872,-2.380471657,0.298336751,-2.1879,0.1945,-20.732,0.1034,20.62020393,0.48767539,1.314292956,0.023650367,0.934260732,0.104850437,0.982983245,0.106849539,0.197596358,0.020021957,13823.06566,856.3097166,8.02863853,0.037284488,9.20343368,0.43009624,0.43899701,1.30E-07,1.556746022,0.407123307,0.457407734,0.040319114,0.010340501,0.011829516,6.58E+39,0.0132,0.0153,3.326158,0.174575,0.006351,0.031802,2.164014,0.795199,0.257811,0.260954,0.6901,1.236,2.5722,1.125,2.5992,1.6176,0.1168,0.1444,0.2752,0.3791,0.0575,0.4666
J011309+000223,1589.509009,0.626916064,0.133429308,6.84E-19,0.089959034,0.1362,0.0489,143.7225468,29.50272027,115.6824841,23.65853347,53.57488267,10.83419523,92.23626932,16.06425983,146.9908824,24.91285805,442.6185064,74.45415658,1248.7367,81.726812,40.89612577,1.774514443,249.5886283,5.172897113,34.582537,3.7504174,2.79E+41,4.86E+40,0.881449945,0.091597029,0.232051174,0.09667186,-1.989533647,0.252600552,-1.996,0.238,-20.2683,0.1182,4.386904154,0.331819153,0.642158146,0.075638569,0.249559481,0.119436247,0.810553391,0.097582361,0.439623546,0.082246234,11649.53476,1062.319405,8.328710289,0.114663223,9.1106388,0.43040943,0.43838254,2.28E-06,1.44467693,0.427953249,0.489573372,0.039665936,0.011518681,0.012915653,4.37E+39,0.022,0.0143,2.415718,0.336291,0.188604,0.108709,0.580329,0.703701,0.65995,0.236135,0.319,0.9694,0.5709,1.2946,0.974,2.6462,0.224,0.284,0.508,0.3904,0.5269,0.7607
J012217+052044,1954.045958,0.713061011,0.150777843,9.32E-07,0.025182244,0.0747,0.0398,53.65434796,6.283601155,67.71744097,7.573360945,57.83538145,6.495299245,119.3262144,11.17958775,232.5089248,21.25685284,690.686917,61.8019335,1801.2726,78.203131,87.25533166,3.011433631,636.5147383,15.95106359,71.464696,6.8360211,5.45E+41,5.11E+40,0.832851564,0.052685028,0.755163477,0.05244056,-1.608950868,0.27439466,-2.4136,0.1917,-20.1426,0.0964,8.57700851,0.348987669,0.933335841,0.04068874,0.428902591,0.100442683,0.410338611,0.095642214,0.600962045,0.070138089,16224.70163,1766.524946,7.79898051,0.064108196,8.76244113,0.42301044,0.44800716,3.04E-07,1.11824426,0.265971664,0.291656785,0.048215659,0.011732581,0.012551417,5.11E+39,0.0376,0.0342,2.973654,0.157646,0.225471,0.052179,-0.097817,0.756988,0.542655,0.244981,0.4368,0.8844,0.1199,1.1819,1.4755,2.3815,0.044,0.1767,0.7309,0.523,0.5215,0.7194
J012910+145935,1434.40693,0.636347287,0.127468939,0.072871517,0.013547166,0.158,0.0364,473.2236002,35.6112144,288.2576559,21.76454635,100.0148729,8.79393227,339.4499219,20.49805784,415.6054431,24.7496489,1251.601813,73.75088425,1849.3256,100.5006,73.37026401,1.179627398,352.6205233,5.007889996,39.431573,4.1167787,8.36E+41,5.05E+40,0.773085983,0.03196857,0.215806966,0.034949599,-1.672493958,0.205337976,-1.7716,0.1114,-20.4386,0.0891,13.14773352,0.344803926,1.118850893,0.026225351,0.713282631,0.090862015,0.948414747,0.090660167,0.192287019,0.016738278,10001.41952,255.937984,8.411045557,0.043654878,9.15404832,0.30524857,0.58301868,0.266259978,0.291677122,0.614190217,0.556030853,0.005752464,0.012378483,0.011084956,7.18E+38,0.0069,0.0101,2.399814,0.296606,0.144858,0.086324,1.865789,0.488244,0.355858,0.145218,-99,-99,2.8816,0.9408,1.4185,1.7937,0.0343,0.1252,0.1666,0.3954,0.2056,0.5028
J0232-0426,2513.207886,1.631107196,0.193164576,0.110126745,0.020542785,0.0197,0.0417,12.43247921,1.1484133,14.79521558,1.337828586,22.21626646,1.814957293,57.10075196,4.307933664,93.31044224,6.538573235,270.0842243,19.22049901,435,64,206.9365584,8.472970889,1585.003158,64.83170427,90.6,1.8,4.32E+41,3.26E+40,0.716570493,0.043225591,0.996488344,0.0417864,-1.529049822,0.705452471,-2.4112,0.2311,-18.8627,0.136,6.789363871,0.222454179,0.831829085,0.032765099,-0.391315791,0.060981572,-1.055474593,0.065728779,0.30088173,0.052491707,17966.31366,1267.189072,7.547644178,0.048213776,7.4,0.114797136,0.114797136,0.065675899,0.089958097,0.056483168,0.065670922,0.020482339,0.013011059,0.014807379,7.56E+39,0.0473,0.0309,2.959642,0.243212,0.042727,0.044174,-0.8948,3.6401,0.4657,0.8399,2.7384,0.8716,-0.8948,3.6401,0,0,0.1514,0.1455,0.4657,0.8399,0,0
J072326+414608,1534.176385,0.436575336,0.128655146,0.009760025,0.013953608,0.1837,0.0337,148.6657606,12.53360566,136.8227094,11.38290557,68.39783915,5.496942017,190.9124922,13.31150574,314.5028262,21.04071225,958.5839854,63.77278708,1234.0962,59.694749,86.65153919,2.290301595,519.8215315,7.719513818,50.696098,4.4582219,5.38E+41,3.75E+40,0.814011328,0.038046305,0.526041596,0.038706226,-1.022143004,0.174368467,-1.5751,0.1692,-19.9071,0.0798,8.458928713,0.256148914,0.927315365,0.030281484,0.849017102,0.131516598,1.105379573,0.141453123,0.241357046,0.022104064,12085.09851,637.4317815,8.169330473,0.044064338,9.54079957,0.38292368,0.47582965,0.240297404,0.147760206,0.24213847,0.244268437,0.006408668,0.010167479,0.010557146,4.16E+38,0.0037,0.0041,1.829279,0.27283,0.126499,0.062873,0.821999,0.479716,0.564986,0.164879,1.9043,0.616,0.03,1.1028,2.1811,1.2086,0.0888,0.1143,0.4772,0.2972,0.6474,0.5768
J080425+472607,1897.444676,0.405060761,0.144261779,0.083777273,0.025022556,0.062,0.0569,6.603512493,1.436067856,6.159581764,1.542775338,25.60756121,2.68350228,73.48713016,6.112185581,114.0079482,9.220614585,327.9110547,25.88972248,1127.9872,28.785367,287.330501,26.96199171,1777.079052,158.3698278,236.0814,20.612512,3.17E+41,2.63E+40,0.666127892,0.04900305,1.409800082,0.079495148,-2.485639437,0.398248524,-2.2478,0.2904,-18.4607,0.1506,4.980580478,0.179907602,0.697279962,0.036121814,0.684059744,0.158835207,0.177916497,0.157596899,0.630944075,0.097759397,19234.41083,2399.227527,7.463129545,0.06085762,8.47746268,0.41595418,0.45205145,0,1.795068261,0.208923452,0.234979655,0.339410361,0.040586749,0.044744843,7.74E+39,0.5838,0.3938,0.874609,0.279367,0.30149,0.101976,0.377846,1.462646,0.718775,0.514508,-1.262,1.2382,1.4774,5.399,0.9419,5.7744,0.1022,0.278,0.2189,0.9876,0.6356,0.893
J081112+414146,1753.033358,0.678709009,0.153059348,5.05E-20,0.06089634,0.1823,0.0221,19.03089357,3.338101178,26.66473495,4.533283014,27.99358684,4.814768773,62.11159147,8.846508813,141.8139144,19.78760947,413.2415436,57.05627493,1710.4173,33.65429,151.4788391,6.631588205,1169.306099,27.41393473,119.95059,9.3217005,2.28E+41,3.25E+40,0.868580578,0.082278678,0.95632932,0.080363952,-1.182667748,0.141778042,-1.7443,0.1087,-19.5163,0.0478,3.593217019,0.222262919,0.555483448,0.061856247,0.093936351,0.115838073,0.543262313,0.104197513,0.821949021,0.118398512,15265.31495,1866.38095,7.938304311,0.090288354,8.35186187,0.42189145,0.4476914,6.67E-12,0.73089952,0.13164142,0.14375589,0.061599996,0.010687955,0.011150791,2.69E+39,0.0198,0.0093,1.76676,0.160366,0.270231,0.049655,0.645811,0.380087,0.770535,0.150013,1.5462,0.4007,0.6474,0.7533,-0.7749,1.3835,0.1678,0.102,0.7035,0.3643,0.5855,0.4531
J081409+211459,1130.707494,1.438898581,0.124805483,0.179927458,0.010432903,0.2594,0.0158,838.269894,41.52978138,1022.725525,48.89415734,228.4277318,12.94659787,658.8419533,29.79344021,755.4409372,34.17381885,2196.165262,96.66657271,-169.27014,96.848001,29.37358471,0.529216145,131.630292,1.129876994,-1.5126012,2.11162904,1.01E+42,4.56E+40,0.789440962,0.023236303,0.071919714,0.024280483,-1.013354995,0.080556568,-1.2598,0.0827,-20.9285,0.035,15.8566784,0.311412431,1.200212218,0.019639197,0.085971981,0.042481476,0.777778583,0.040650873,-0.009556696,-0.005492449,12731.41171,947.839532,8.059970136,0.03240253,9.55051958,0.43168469,0.43700105,0.114316317,3.312456277,3.158715913,3.178589238,0.032993406,0.031405834,0.030952155,5.07E+39,0.0075,0.0057,4.204264,0.112663,0.210797,0.041087,1.279135,0.238981,0.756443,0.10088,3.9964,0.3473,1.733,0.4312,0.9521,0.6701,0.1782,0.0748,0.5794,0.2046,0.7229,0.2816
J082652+182052,1536.207414,0.563081135,0.132917933,0.03000946,0.017367833,0.1914,0.0487,100.3675603,9.003939155,94.77641613,8.581901935,57.76591445,5.531481419,147.5948136,11.00451537,258.5318988,18.71643043,813.7273371,57.69971935,254.64617,35.242298,107.8218528,4.537408456,729.1863464,18.86315126,23.751576,3.8910844,4.17E+41,3.11E+40,0.834764676,0.041159602,0.620123756,0.041408182,-1.615900682,0.282357991,-1.6,0.256,-19.122,0.1238,6.556940474,0.2123173,0.816701241,0.032380544,0.517379417,0.107509462,0.662464204,0.109501538,0.068937108,0.012017002,10504.07582,404.143948,8.304066105,0.051219358,8.50851243,0.42282816,0.44567487,0.849881368,0,0.205207555,0.205207555,0.015953272,0.015735165,0.015953272,5.80E+38,0.0089,0.0079,3.088985,0.408964,0.00487,0.072656,2.712363,0.61266,0.270576,0.160789,3.0291,0.897,-0.3174,2.1869,1.4967,1.5482,0.0519,0.1919,0.678,0.4878,0.3668,0.6669
J083440+480541,1810.996486,1.161620148,0.155676331,0.180205645,0.011894062,0.1252,0.0336,592.9355257,57.52363243,435.6777477,37.58310758,273.5651328,15.81691348,656.6796422,31.60763154,1155.324503,54.2903265,3505.866975,163.9907716,1362.8425,61.847851,183.7349926,4.596419878,1227.911468,18.6290663,70.269618,5.5593381,2.58E+42,1.24E+41,0.839173962,0.026962278,0.532543309,0.03541681,-1.259277827,0.244865263,-1.8751,0.1777,-19.9429,0.0849,40.54330962,0.847504289,1.607919198,0.020903678,0.679611057,0.061842641,0.059386849,0.080639774,0.080667058,0.007041334,11728.99314,760.6760813,8.172273064,0.034472827,9.12308111,0.42682021,0.44211179,0.326971333,0.082210455,0.218887227,0.226348458,0.004302691,0.011563865,0.011976471,3.23E+38,0.016,0.0341,2.794009,0.205292,0.088908,0.047845,1.787775,0.580492,0.376726,0.190489,2.9486,0.6698,0.2035,1.2979,1.6842,1.518,0.0151,0.1214,0.3747,0.3828,0.503,0.4516
J0901+2119 ,1548.49572,0.58480566,0.126972637,0.134373223,0.016836908,0.2078,0.0733,125.8448959,10.93461946,137.4630001,11.42596568,158.8942706,11.65132692,296.069147,18.63515983,666.6550979,40.55385143,1973.899612,117.011392,1062,23,219.0076934,7.600462865,1757.007003,59.72026151,179,3.9,8.50E+41,5.35E+40,0.878313116,0.035673537,0.874861179,0.036650014,-1.510291902,0.322151478,-1.4871,0.38,-18.4842,0.1831,13.36421953,0.365315311,1.125943601,0.027335327,0.793740598,0.098176018,0.372519755,0.099299818,0.147461494,0.013041693,13312.79173,848.0476534,8.102091972,0.044590209,9.8,0.15202864,0.15202864,0.016880676,0.361692684,0.175614885,0.207317964,0.061525215,0.030352403,0.035254392,2.87E+39,0.0257,0.0464,0.973957,0.559216,0.141844,0.146353,1.776482,0.787438,0.418575,0.216369,0.7611,1.5585,1.7844,1.3403,3.035,1.8297,-0.0677,0.2362,0.3992,0.4119,0.1658,0.403
J090918+392925,1443.71476,0.35549807,0.121570326,0.208573072,0.019380025,0.0371,0.0452,59.0783337,8.250864059,69.60860171,7.753665344,129.6127867,10.9237667,257.5317571,15.98762219,612.6477738,35.56141503,1826.642518,103.705332,1774.0385,40.779594,283.8372613,19.37146886,2372.691941,155.4349842,140.42004,12.530307,6.42E+41,3.99E+40,0.880389151,0.035549683,1.152119104,0.045475452,-2.163263021,0.199172964,-2.473,0.2696,-18.7334,0.1081,10.10471372,0.272434066,1.004524014,0.026961087,1.104669651,0.150943846,0.346505936,0.150186782,0.295487987,0.036782332,18336.4572,1251.177234,7.689037494,0.045010599,8.6779444,0.42285882,0.44585023,0,3.278407885,0.410084838,0.430306564,0.245298503,0.030277007,0.032147553,8.18E+39,0.4911,0.3365,0.69822,0.408774,0.235856,0.09195,0.369394,0.822087,0.572253,0.32865,-1.9409,0.9913,0.5842,1.3291,0.9185,1.4768,0.0244,0.1434,0.5556,0.5615,0.4668,0.548
J091021+610550,1387.371868,0.339090798,0.11820797,0.490333752,0.02070247,0.2441,0.0103,1107.425709,93.10641108,710.2606429,84.08541719,178.8297729,104.8232131,1032.478824,43.99089327,280.4396048,28.01693609,840.0605622,39.33414553,1523.331,60.930631,20.54656536,0.418392272,38.09305514,0.634170616,18.599533,2.2842654,2.38E+42,1.01E+41,0.410632469,0.028354465,-0.33520835,0.036221525,-0.68844827,0.054456794,-1.4309,0.05,-20.9701,0.0218,37.41083064,0.692250534,1.572997351,0.018504014,1.714185475,0.152522843,1.904796624,0.151737982,0.055793698,0.003920574,7088.049397,109.7385621,8.587176474,0.043826751,10.44,0.161957041,0.161957041,0,15.04389536,1.087106659,1.104655211,0.259498223,0.018418346,0.01818234,2.30E+39,0.028,0.0039,1.479705,0.155978,0.580825,0.074134,1.319932,0.155862,0.67663,0.060491,-99,-99,1.1176,0.32,0.5266,0.4909,-99,-99,0.6616,0.0962,0.7187,0.129
J091113+183108,1330.252413,0.442376066,0.117491278,0.184500862,0.012973616,0.2377,0.0248,898.0727747,55.83212874,564.3346513,39.78896698,223.8913329,15.57197743,758.5098099,38.24691516,882.3911974,43.82884116,2659.324508,129.0358113,3206.654,105.82044,73.23866489,1.491946789,346.2437153,3.771879313,53.803199,4.8831763,1.61E+42,8.10E+40,0.735118541,0.026769286,0.259702952,0.029301947,-1.044752793,0.133440971,-1.4403,0.107,-20.561,0.0485,25.26735272,0.553323693,1.402559743,0.02189876,1.312796631,0.117405267,1.622695618,0.117772606,0.158375724,0.011356102,12300.58556,1048.615942,8.060318147,0.037191668,10.0412984,0.37020559,0.49734062,0,7.256239636,1.177554259,1.30111087,0.121294563,0.018827703,0.020875879,1.54E+40,0.0232,0.0139,1.748043,0.236062,0.224723,0.07007,0.974516,0.402187,0.545469,0.133076,-1.1457,0.9987,0.7076,0.7676,1.8226,1.0268,0.1863,0.1558,0.4723,0.2931,0.3859,0.3298
J091207+523960,1243.221664,0.803519332,0.12359734,0.267737641,0.01166675,0.1971,0.0349,794.0100864,40.45643544,660.4151833,34.58308244,120.7190514,7.775989224,440.38654,19.51826228,463.7592842,21.19996613,1320.075849,55.41372318,824.96666,32.020932,72.74308382,1.772791337,307.4257624,4.509881346,50.187577,4.9812623,8.15E+41,3.61E+40,0.799350868,0.022696684,-0.042092526,0.024185354,-1.040237926,0.170024018,-1.6591,0.1797,-18.9566,0.0776,12.81331804,0.246634052,1.107661606,0.019248258,0.499489077,0.06952093,0.300114552,0.086263526,0.069127693,0.004672733,11777.48019,875.4495095,8.166330834,0.03084298,10.2560465,0.42733784,0.44150605,0.243866002,0.341619278,0.59926324,0.600216084,0.021022959,0.035945185,0.03568008,6.32E+38,0.008,0.0123,2.779055,0.250355,0.075222,0.077802,1.649494,0.448212,0.550994,0.162499,2.5694,0.5926,1.8898,0.8699,2.6925,1.2908,-0.0958,0.1355,0.5168,0.3122,0.3195,0.4168
J091208+505009,1718.957255,1.175780189,0.143902783,0.108779506,0.013054456,0.1575,0.03,216.1846298,15.81235322,212.6412128,14.82943201,99.30092719,6.684218651,247.3460782,14.19658336,427.3296202,24.24976797,1271.712779,70.34272403,1014.0585,49.361209,91.25525534,1.974629849,582.8821805,8.859882052,40.129188,3.7984118,8.75E+41,5.02E+40,0.837281471,0.031220383,0.472108086,0.03254344,-1.330450519,0.182080114,-2.0037,0.1468,-19.9986,0.0663,13.75832658,0.342948358,1.138565614,0.024926604,0.199733468,0.058707509,0.249007088,0.055996645,0.159190138,0.015138991,11819.88604,897.4310509,8.181586899,0.03938209,8.83560189,0.3568951,0.65840269,0.323685743,0.073639636,0.197417748,0.191212879,0.003042168,0.008108666,0.007976209,2.60E+38,0.0025,0.0087,3.087172,0.167453,0.132131,0.041159,0.422924,0.528503,0.78363,0.191004,1.8731,0.6282,0.5059,1.1437,-0.5739,1.5075,0.0742,0.1092,0.6384,0.3525,0.8075,0.5355
J091703+315221,1554.79124,0.407093293,0.128748754,0.192001311,0.011677165,0.0774,0.0243,396.9672305,21.77156078,348.6500743,20.46471386,136.4139538,8.718950033,431.6732313,20.18847567,495.714054,22.96354634,1474.119629,66.89043806,1571.6898,84.270549,50.67890856,0.798428536,232.7572523,2.072187401,30.120942,3.0946246,1.25E+42,5.84E+40,0.71114639,0.024859412,0.29601675,0.026291691,-1.65691989,0.169597193,-2.2699,0.1183,-20.5166,0.0564,19.64399062,0.39899039,1.293229718,0.020311066,1.275661956,0.138845141,1.043787881,0.139157783,0.128706951,0.010058172,9154.961896,167.6025729,8.458963555,0.035331414,9.31303787,0.43115357,0.43747667,0,7.455658747,0.731794331,0.794661186,0.149264808,0.014295161,0.015311609,2.16E+40,0.1607,0.0648,1.977174,0.280782,0.042851,0.054068,1.291816,0.479638,0.628056,0.173795,2.4643,0.4252,1.555,0.9605,-0.2427,1.5884,-0.0398,0.0673,0.4409,0.4408,0.51,0.4554
J0919+4906,2204.953977,0.409068845,0.155484332,0.019437403,0.021770699,0.181,0.0811,11.11850261,1.36116325,14.6352338,1.546366499,26.28862942,2.61837239,52.06800354,4.504953146,109.7318349,9.03190941,326.4699932,26.75372999,817,95,222.8841643,12.94688639,1724.382474,83.99233113,219.5,3.7,3.03E+41,2.62E+40,0.830247686,0.050065373,1.103003024,0.049734449,-2.535758569,0.506396931,-1.8223,0.4258,-19.209,0.2362,4.76541156,0.179062265,0.678100414,0.037575404,0.656327736,0.169295061,0.843710579,0.169049557,0.557924429,0.08371938,14957.16613,1156.399154,7.909171366,0.061768354,7.51,0.11650358,0.11650358,0,0.978737603,0.120417275,0.132949629,0.177496778,0.022539259,0.024885909,5.82E+39,0.0493,0.1306,1.42408,0.33628,0.26363,0.109095,0.868461,1.229585,0.504758,0.342421,0.668,1.6083,0.9496,1.8649,0,0,0.3021,0.2022,0.543,0.534,0,0
J0925+1403 ,1560.575613,0.402540371,0.12525578,0.142950636,0.012604034,0.1063,0.0236,289.5668641,21.0773717,323.54929,25.44382626,249.9633083,16.33221927,506.572471,26.66446995,1013.978391,52.30347769,3001.586674,153.0124618,8200,164,172.7839026,3.997552491,1299.485033,23.4820232,83,2.1,1.48E+42,7.77E+40,0.853431014,0.029602458,0.68980813,0.032215947,-0.992747746,0.120858198,-2.0615,0.1243,-19.8109,0.054,23.22424728,0.530905619,1.365941647,0.022859971,1.358142894,0.137056376,0.875956639,0.136056021,0.537374299,0.033362533,13587.06301,837.8074786,8.022071903,0.036974221,8.380211242,0.130288345,0.130288345,0,3.048286925,0.360686922,0.37256199,0.124176365,0.014119504,0.015504357,2.91E+39,0.0917,0.0272,0.4099,0.4849,0.3319,0.1885,0.819948,0.354333,0.704194,0.114845,0.4099,0.4849,0.223,0.7185,1.1713,0.9703,0.3319,0.1885,0.811,0.2191,0.6665,0.2671
